Month,Make,AccidentArea,MonthClaimed,VehicleCategory,VehiclePrice,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,AddressChange_Claim,NumberOfCars,BasePolicy,FraudFound_P,RegistrationDate
Jul,Honda,Urban,Sep,Sedan,96494,400,1,more than 30,more than 30,none,25 and under,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Jul,Honda,Rural,Jan,Sport,89807,400,4,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Jul,Honda,Urban,Aug,Sedan,25517,400,-2,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Nov,Honda,Urban,Jan,Sport,70903,400,3,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Nov,Toyota,Urban,Jan,Sedan,28016,400,2,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Nov,Chevrolet,Urban,Jan,Utility,73660,400,1,more than 30,more than 30,more than 4,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Nov,Accura,Rural,Jan,Utility,73935,400,2,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Nov,Mazda,Urban,Dec,Sedan,21489,400,3,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Dec,Honda,Rural,Dec,Sedan,91152,400,3,more than 30,more than 30,none,25 and under,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Dec,Toyota,Rural,May,Sedan,37581,400,3,more than 30,more than 30,none,over 25,No,No,External,under 6 months,2 vehicles,All Perils,1,01:01.0
Dec,Chevrolet,Urban,Jan,Sedan,69254,400,3,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Dec,Mazda,Urban,Jan,Sedan,32916,400,2,more than 30,more than 30,2 to 4,over 25,No,No,External,4 to 8 years,2 vehicles,All Perils,1,01:01.0
Dec,Chevrolet,Urban,Jan,Utility,70765,400,2,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Dec,Honda,Urban,Jan,Sport,90681,400,3,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Dec,Pontiac,Urban,Jan,Sedan,4521,500,3,none,more than 30,2 to 4,over 25,No,No,External,2 to 3 years,1 vehicle,All Perils,1,01:01.0
Dec,Pontiac,Urban,Jan,Sedan,79406,400,4,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Dec,Pontiac,Rural,Jan,Sedan,27217,400,2,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Dec,Chevrolet,Urban,Jan,Sedan,27567,400,2,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Dec,Chevrolet,Urban,Jan,Sedan,27715,400,4,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Dec,Pontiac,Urban,Jan,Sedan,53801,400,4,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Dec,Pontiac,Rural,Jan,Sedan,15227,400,1,more than 30,more than 30,none,over 25,No,No,External,under 6 months,1 vehicle,All Perils,1,01:01.0
Dec,Honda,Urban,Jan,Sedan,69364,400,3,more than 30,more than 30,1,25 and under,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Dec,Honda,Urban,Jan,Utility,76452,400,1,more than 30,more than 30,1,25 and under,No,No,External,4 to 8 years,2 vehicles,All Perils,1,01:01.0
Jan,Honda,Urban,Jan,Sedan,99832,400,4,more than 30,more than 30,1,25 and under,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Jan,Pontiac,Urban,Jan,Sedan,27067,400,2,more than 30,more than 30,none,over 25,No,No,External,under 6 months,1 vehicle,All Perils,1,01:01.0
Jan,Ford,Urban,Jan,Sedan,51504,400,2,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Jan,,Urban,Jan,Sedan,75517,400,3,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Jan,Accura,Urban,Jan,Sedan,91858,400,4,more than 30,more than 30,more than 4,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Nov,Pontiac,Urban,Nov,Sedan,37306,500,2,more than 30,more than 30,2 to 4,over 25,No,No,External,2 to 3 years,1 vehicle,Collision,1,01:01.0
Jan,Honda,Rural,Jan,Sedan,1174,400,1,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Jan,Pontiac,Rural,Jan,Sedan,27759,400,1,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Jan,Toyota,Rural,Jan,Sedan,6545,400,4,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Jan,Chevrolet,Urban,Jan,Sport,25222,400,2,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Liability,1,01:01.0
Jan,Mazda,Rural,Jan,Sedan,48415,400,4,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Jan,Pontiac,Urban,Jan,Sedan,21516,400,3,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,3 to 4,Collision,1,01:01.0
Jan,Chevrolet,Urban,Jan,Sedan,24415,400,1,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Jan,Honda,Urban,Jan,Sedan,23382,400,2,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Jan,Honda,Urban,Jan,Sedan,95156,400,4,more than 30,more than 30,none,25 and under,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Jan,Pontiac,Urban,Jan,Sedan,28545,400,3,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Jan,Toyota,Urban,Jan,Sedan,27099,400,1,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Jan,Pontiac,Urban,Jan,Sedan,11763,400,1,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Jan,Toyota,Urban,Jan,Sedan,10520,400,3,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Jan,Mazda,Urban,Jan,Sedan,31268,400,2,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Jan,Chevrolet,Rural,Jan,Sport,32652,400,1,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Liability,1,01:01.0
Aug,VW,Urban,Aug,Sedan,60359,500,4,more than 30,more than 30,1,over 25,No,No,External,2 to 3 years,1 vehicle,All Perils,1,01:01.0
Jan,Chevrolet,Urban,Jan,Sedan,33647,400,3,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Jan,Mazda,Rural,Feb,Sedan,21309,400,1,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Jan,Toyota,Urban,Feb,Sedan,27875,400,4,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Jan,Dodge,Urban,Feb,Sedan,35753,400,2,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Jan,Toyota,Urban,Jan,Sedan,20456,400,4,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Jan,Pontiac,Urban,Jan,Sedan,26199,400,2,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Jan,Mazda,Urban,Jan,Sedan,21421,400,4,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Jan,Chevrolet,Urban,Feb,Sedan,86736,400,2,more than 30,more than 30,1,over 25,No,No,External,4 to 8 years,2 vehicles,All Perils,1,01:01.0
Jan,Mazda,Urban,Feb,Sedan,28309,400,1,more than 30,more than 30,2 to 4,over 25,Yes,No,External,no change,1 vehicle,Collision,1,01:01.0
Jan,Honda,Urban,Feb,Sedan,25201,400,4,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Jan,Pontiac,Urban,Apr,Sedan,37977,400,1,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Jan,Chevrolet,Urban,Jan,Sport,30964,400,3,more than 30,more than 30,more than 4,over 25,No,No,External,no change,1 vehicle,Liability,1,01:01.0
Jan,Honda,Urban,Feb,Sedan,72988,400,3,more than 30,more than 30,none,25 and under,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Jan,Saab,Urban,Feb,Sedan,35936,400,3,more than 30,more than 30,2 to 4,over 25,No,,External,no change,1 vehicle,All Perils,1,01:01.0
Jan,Mazda,Urban,Feb,Sedan,25137,400,4,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Jan,Pontiac,Urban,Apr,Sedan,28967,400,4,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Jan,Nissan,Rural,Feb,Sedan,34936,400,1,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Jan,Pontiac,Rural,Jan,Sedan,43104,400,1,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Jan,Toyota,Urban,Feb,Sedan,26316,400,1,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Jan,Toyota,Urban,Feb,Sedan,25308,400,2,more than 30,more than 30,2 to 4,over 25,No,No,External,1 year,1 vehicle,All Perils,1,01:01.0
Jan,Chevrolet,Urban,Feb,Sedan,22038,400,4,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Jan,Mazda,Rural,Mar,Sedan,22555,400,3,more than 30,more than 30,2 to 4,over 25,No,No,External,4 to 8 years,2 vehicles,All Perils,1,01:01.0
Jan,Pontiac,Rural,Feb,Sedan,37980,400,3,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Jan,Honda,Urban,Feb,Sedan,25133,400,3,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Jan,Toyota,Urban,Feb,Sedan,21413,400,3,1 to 7,8 to 15,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Jan,Honda,Rural,Feb,Sport,85520,400,3,more than 30,more than 30,none,25 and under,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Feb,Pontiac,Urban,Feb,Sedan,4812,400,3,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Feb,Pontiac,Rural,Feb,Sedan,24839,400,2,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Feb,Accura,Urban,Feb,Sedan,37752,400,4,more than 30,more than 30,more than 4,over 25,No,No,External,no change,1 vehicle,Liability,1,01:01.0
Nov,Mazda,Urban,Nov,Sedan,32232,500,4,more than 30,more than 30,1,over 25,No,No,External,2 to 3 years,1 vehicle,Collision,1,01:01.0
Feb,Accura,Urban,Feb,Sedan,32973,700,1,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Feb,Pontiac,Urban,Feb,Sedan,22072,700,3,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Feb,Chevrolet,Urban,Feb,Sedan,30248,400,3,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Feb,Honda,Rural,Feb,Sedan,78516,400,3,more than 30,more than 30,none,25 and under,,No,External,2 to 3 years,2 vehicles,Collision,1,01:01.0
Feb,Honda,Urban,Feb,Sedan,89010,400,1,more than 30,more than 30,more than 4,25 and under,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
