Month,Make,AccidentArea,MonthClaimed,Sex,MaritalStatus,Fault,VehicleCategory,VehiclePrice,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,AddressChange_Claim,NumberOfCars,BasePolicy,FraudFound_P,PolicyNumber,Year,RegistrationDate
Jul,Honda,Urban,Sep,Male,Single,Policy Holder,Sedan,96494,400,1.0,more than 30,more than 30,none,25 and under,No,No,External,no change,1 vehicle,All Perils,1.0,509343533,2023,2023-01-05 00:01:01.000001
Jul,Honda,Rural,Jan,Male,Married,Policy Holder,Sport,89807,400,4.0,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,Collision,1.0,600000326,2023,2020-11-09 00:01:01.000001
Jul,Honda,Urban,Aug,Male,Married,Policy Holder,Sedan,25517,400,-2.0,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,Collision,1.0,935545676,2023,2016-02-24 00:01:01.000001
Nov,Honda,Urban,Jan,Male,Single,Policy Holder,Sport,70903,400,3.0,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,Collision,1.0,620550528,2023,2017-04-30 00:01:01.000001
Nov,Toyota,Urban,Jan,Male,Married,Policy Holder,Sedan,28016,400,2.0,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Collision,1.0,795966429,2023,2017-05-21 00:01:01.000001
Nov,Chevrolet,Urban,Jan,Male,Married,Policy Holder,Utility,73660,400,1.0,more than 30,more than 30,more than 4,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,141984375,2023,2017-04-16 00:01:01.000001
Nov,Accura,Rural,Jan,Male,Married,Policy Holder,Utility,73935,400,2.0,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,382725306,2023,2016-10-21 00:01:01.000001
Nov,Mazda,Urban,Dec,Male,Single,Policy Holder,Sedan,21489,400,3.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,289519190,2023,2019-07-11 00:01:01.000001
Dec,Honda,Rural,Dec,MALE,Single,Policy Holder,Sedan,91152,400,3.0,more than 30,more than 30,none,25 and under,No,No,External,no change,1 vehicle,All Perils,1.0,605007436,2023,2023-02-05 00:01:01.000001
Dec,Toyota,Rural,May,Male,Married,Policy Holder,Sedan,37581,400,3.0,more than 30,more than 30,none,over 25,No,No,External,under 6 months,2 vehicles,All Perils,1.0,504001815,2023,2016-08-09 00:01:01.000001
Dec,Chevrolet,Urban,Jan,Male,Married,Policy Holder,Sedan,69254,400,3.0,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,467172180,2023,2018-12-08 00:01:01.000001
Dec,Mazda,Urban,Jan,Male,Married,Policy Holder,Sedan,32916,400,2.0,more than 30,more than 30,2 to 4,over 25,No,No,External,4 to 8 years,2 vehicles,All Perils,1.0,210765893,2023,2016-02-08 00:01:01.000001
Dec,Chevrolet,Urban,Jan,Male,Married,Policy Holder,Utility,70765,400,2.0,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,951309072,2023,2018-04-07 00:01:01.000001
Dec,Honda,Urban,Jan,Male,Married,Policy Holder,Sport,90681,400,3.0,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,Collision,1.0,342940074,2023,2016-02-12 00:01:01.000001
Dec,Pontiac,Urban,Jan,Male,Married,Third Party,Sedan,4521,500,3.0,none,more than 30,2 to 4,over 25,No,No,External,2 to 3 years,1 vehicle,All Perils,1.0,428336002,2023,2017-09-12 00:01:01.000001
Dec,Pontiac,Urban,Jan,Male,Married,Policy Holder,Sedan,79406,400,4.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1.0,962591013,2023,2020-04-23 00:01:01.000001
Dec,Pontiac,Rural,Jan,Male,Married,Policy Holder,Sedan,27217,400,2.0,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Collision,1.0,124833074,2023,2017-04-03 00:01:01.000001
Dec,Chevrolet,Urban,Jan,Male,Married,Policy Holder,Sedan,27567,400,2.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1.0,365113145,2023,2017-08-02 00:01:01.000001
Dec,Chevrolet,Urban,Jan,Male,Married,Policy Holder,Sedan,27715,400,4.0,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,704129274,2023,2018-03-27 00:01:01.000001
